date,iowa,ohio,iowa_returns,ohio_returns,spread
2017-10-01,3.23,3.44,0.006230529595015577,-0.014326647564469996,0.20999999999999996
2017-11-01,3.14,3.37,-0.02786377708978327,-0.02034883720930225,0.22999999999999998
2017-12-01,3.2,3.5,0.019108280254777066,0.03857566765578624,0.2999999999999998
2018-01-01,3.24,3.54,0.012499999999999956,0.011428571428571344,0.2999999999999998
2018-02-01,3.33,3.64,0.02777777777777768,0.02824858757062154,0.31000000000000005
2018-03-01,3.43,3.79,0.03003003003003002,0.041208791208791284,0.3599999999999999
2018-04-01,3.52,3.83,0.026239067055393583,0.01055408970976246,0.31000000000000005
2018-05-01,3.57,3.96,0.014204545454545414,0.03394255874673635,0.3900000000000001
2018-06-01,3.54,3.78,-0.008403361344537785,-0.045454545454545525,0.23999999999999977
2018-07-01,3.41,3.65,-0.03672316384180785,-0.03439153439153442,0.23999999999999977
2018-08-01,3.27,3.55,-0.04105571847507339,-0.0273972602739726,0.2799999999999998
2018-09-01,3.29,3.46,0.006116207951070374,-0.025352112676056304,0.16999999999999993
2018-10-01,3.4,3.47,0.033434650455927084,0.0028901734104047616,0.07000000000000028
2018-11-01,3.4,3.48,0.0,0.0028818443804032867,0.08000000000000007
2018-12-01,3.52,3.63,0.03529411764705892,0.0431034482758621,0.10999999999999988
2019-01-01,3.52,3.69,0.0,0.016528925619834656,0.16999999999999993
2019-02-01,3.54,3.73,0.005681818181818121,0.01084010840108407,0.18999999999999995
2019-03-01,3.57,3.74,0.008474576271186418,0.002680965147453085,0.17000000000000037
2019-04-01,3.51,3.64,-0.01680672268907568,-0.0267379679144385,0.13000000000000034
2019-05-01,3.59,3.79,0.02279202279202286,0.041208791208791284,0.20000000000000018
2019-06-01,3.95,4.28,0.10027855153203347,0.1292875989445912,0.33000000000000007
2019-07-01,4.11,4.59,0.040506329113924044,0.07242990654205594,0.47999999999999954
2019-08-01,3.91,4.3,-0.048661800486618056,-0.0631808278867102,0.3899999999999997
2019-09-01,3.72,4.11,-0.04859335038363166,-0.04418604651162783,0.3900000000000001
2019-10-01,3.79,4.14,0.018817204301075252,0.007299270072992581,0.34999999999999964
2019-11-01,3.64,4.06,-0.0395778364116095,-0.019323671497584516,0.4199999999999995
2019-12-01,3.7,4.13,0.016483516483516425,0.017241379310344973,0.4299999999999997
2020-01-01,3.78,4.15,0.021621621621621623,0.004842615012106588,0.37000000000000055
2020-02-01,3.74,4.14,-0.01058201058201047,-0.002409638554217053,0.39999999999999947
2020-03-01,3.64,3.99,-0.0267379679144385,-0.03623188405797084,0.3500000000000001
